"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"3677","Arkansas","US","2020-06-15 03:33:25",34.9697,-92.3731,12501,179,8110,4212,5,414.24161410085,196989,998,1.43188544916407,84000005,"USA",6527.56110072092,7.98336133109351
"3678","California","US","2020-06-15 03:33:25",36.1162,-119.6816,152300,5099,NA,147201,6,385.450345327318,2801996,NA,3.34799737360473,84000006,"USA",7091.46635460121,NA
"3679","Colorado","US","2020-06-15 03:33:25",39.0598,-105.3111,29115,1598,4178,23339,8,505.579696655655,244643,5244,5.48857976987807,84000008,"USA",4248.206550882,18.01133436373
"3680","Connecticut","US","2020-06-15 03:33:25",41.5978,-72.7554,45088,4201,7611,33276,9,1264.63872333419,349106,9912,9.31733498935415,84000009,"USA",9791.80638192662,21.9836763662172
"3681","Delaware","US","2020-06-15 03:33:25",39.3185,-75.5071,10264,422,6172,3670,10,1054.05416507491,81787,NA,4.11145752143414,84000010,"USA",8399.05767721953,NA
"3682","Diamond Princess","US","2020-06-15 03:33:25",NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,"USA",NA,NA
"3683","District of Columbia","US","2020-06-15 03:33:25",38.8974,-77.0268,9767,515,1150,8102,11,1383.91977884489,64530,NA,5.2728575816525,84000011,"USA",9143.4773552637,NA
"3684","Florida","US","2020-06-15 03:33:25",27.7663,-81.6868,75568,2931,NA,72637,12,351.843399516439,1409015,12224,3.87862587338556,84000012,"USA",6560.35130703016,16.1761592208342
"3685","Georgia","US","2020-06-15 03:33:25",33.0406,-83.6431,57681,2451,NA,55230,13,543.267419975638,620790,9248,4.24923284963853,84000013,"USA",5846.89900741451,16.0330091364574
"3686","Grand Princess","US","2020-06-15 03:33:25",NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233,84099999,"USA",NA,NA
"3687","Guam","US","2020-06-15 03:33:25",13.4443,144.7937,183,5,168,10,66,111.429771842975,8543,NA,2.73224043715847,316,"GUM",5201.88273691005,NA
"3688","Hawaii","US","2020-06-15 03:33:25",21.0943,-157.4983,728,17,628,83,15,51.4170772499209,60322,89,2.33516483516484,84000015,"USA",4260.41337070018,12.2252747252747
"3689","Idaho","US","2020-06-15 03:33:25",44.2405,-114.4788,3399,87,2837,475,16,190.200132619686,62980,266,2.55957634598411,84000016,"USA",3524.21428431534,7.825831126802
"3690","Illinois","US","2020-06-15 03:33:25",40.3495,-88.9861,132543,6308,NA,126235,17,1045.96647948231,1191846,NA,4.75921021857058,84000017,"USA",9405.48323717641,NA
"3691","Indiana","US","2020-06-15 03:33:25",39.8494,-86.2583,39909,2422,28522,8965,18,592.806027254907,348391,6419,6.06880653486682,84000018,"USA",5174.98019597996,16.0840913077251
"3692","Iowa","US","2020-06-15 03:33:25",42.0115,-93.2105,23926,652,14383,8891,19,758.334997321771,224634,NA,2.72506896263479,84000019,"USA",7119.77864199526,NA
"3693","Kansas","US","2020-06-15 03:33:25",38.5266,-96.7265,11101,245,667,10189,20,381.04371859676,129152,973,2.20700837762364,84000020,"USA",4433.16443061064,8.76497612827673
"3694","Kentucky","US","2020-06-15 03:33:25",37.6681,-84.6701,12445,499,3409,8537,21,278.556644588805,294585,2433,4.00964242667738,84000021,"USA",6593.70101616658,19.5500200883889
"3695","Louisiana","US","2020-06-15 03:33:25",31.1695,-91.8678,46619,3014,33904,9701,22,1002.81922580351,509332,NA,6.46517514318196,84000022,"USA",10956.2178922103,NA
"3696","Maine","US","2020-06-15 03:33:25",44.6939,-69.3819,2793,100,2173,520,23,207.779725221914,69858,314,3.58037952022914,84000023,"USA",5196.94810044844,11.2423916935195
